GID_2;year;builtup_area;builtup_px;cloud_area;cloud_px;crops_area;crops_px;forest_area;forest_px;grass_area;grass_px;noveg_area;noveg_px;water_area;water_px
TGO.3.2_1;2013;0.006357869224340;87541.000000000000000;0.000892226767127;12285.000000000000000;0.007175071958060;98793.000000000000000;0.007247989798860;99797.000000000000000;0.021721672805800;299084.000000000000000;0.011147786989500;153493.000000000000000;0.002140981104450;29479.000000000000000
TGO.3.3_1;2013;0.005255676841930;72365.000000000000000;0;0;0.006615260487080;91085.000000000000000;0.006741051025190;92817.000000000000000;0.026186946399300;360566.000000000000000;0.012431838210000;171173.000000000000000;0.003614299150680;49765.000000000000000
TGO.3.4_1;2013;0.005450826481590;75052.000000000000000;0.000449635809140;6191.000000000000000;0.009391948623890;129317.000000000000000;0.022641425331600;311748.000000000000000;0.057981884825600;798348.000000000000000;0.008891546310050;122427.000000000000000;0.002311582706070;31828.000000000000000
TGO.3.5_1;2013;0.020296361425700;279459.000000000000000;0.003524459141650;48528.000000000000000;0.028970461505300;398892.000000000000000;0.051625613402500;710829.000000000000000;0.136163318844000;1874822.000000000000000;0.018144849358200;249835.000000000000000;0.003642333300620;50151.000000000000000
TGO.4.1_1;2013;0.007591008685400;104520.000000000000000;0;0;0.018528975314300;255124.000000000000000;0.051307723572700;706452.000000000000000;0.062312579973900;857977.000000000000000;0.004760939459950;65553.000000000000000;0.001848147703950;25447.000000000000000
TGO.4.2_1;2013;0.011153815058100;153576.000000000000000;0.002231329504800;30723.000000000000000;0.024049451406800;331135.000000000000000;0.049671429794600;683922.000000000000000;0.133734079861000;1841374.000000000000000;0.048100791124200;662296.000000000000000;0.007177323405330;98824.000000000000000
TGO.4.3_1;2013;0.010563645362500;145450.000000000000000;0.002421322603930;33339.000000000000000;0.027392850611100;377170.000000000000000;0.080821219635400;1112821.000000000000000;0.113331537277000;1560453.000000000000000;0.005736397148940;78984.000000000000000;0.002750614924820;37873.000000000000000
TGO.4.4_1;2013;0.034285983268400;472081.000000000000000;0.003350589310100;46134.000000000000000;0.067618514929200;931034.000000000000000;0.094355322855100;1299171.000000000000000;0.254682626408000;3506705.000000000000000;0.082352203782800;1133901.000000000000000;0.015386172799600;211851.000000000000000
TGO.4.5_1;2013;0.006266140904690;86278.000000000000000;0.004172512820370;57451.000000000000000;0.016930302494000;233112.000000000000000;0.110672214907000;1523837.000000000000000;0.052009521476700;716115.000000000000000;0.003089203544140;42535.000000000000000;0.002302068525650;31697.000000000000000
TGO.5.1_1;2013;0.043859572848300;603899.000000000000000;0.003453284356800;47548.000000000000000;0.074013714601900;1019089.000000000000000;0.037603962906600;517766.000000000000000;0.146875559727000;2022318.000000000000000;0.035060626385800;482747.000000000000000;0.003172870229990;43687.000000000000000
TGO.5.2_1;2013;0.035947696612400;494961.000000000000000;0.000617695454165;8505.000000000000000;0.084344153603100;1161328.000000000000000;0.022591675609500;311063.000000000000000;0.164535766902000;2265480.000000000000000;0.045606478052200;627952.000000000000000;0.002094063848320;28833.000000000000000
